CRN	SUBJ_CODE	CRSE_NUMB	COURSE_SECTION_TITLE	SEM_OFFERED	CAMPUS	SECTION	SCHED_TYPE	QUOTA	STAFF_ID	INSTRUCTOR	START_DATE	END_DATE	DAY	START_TIME	END_TIME	ROOM_DESC	Primary Instructor/First Examiner	Update Status (OK, Amend, Remove, Add)
25188	COMP	3161	Introduction to Database Management Systems	201520	Mona	B01	Lab	100	10019348	Kevin J. Miller	18-Jan-16	15-Apr-16	Wed	2:00 PM	3:59 PM	Computer Lab Lab 1		
25189	COMP	3161	Introduction to Database Management Systems	201520	Mona	M11	Lecture	100	10019348	Kevin J. Miller	18-Jan-16	15-Apr-16	Tues	2:00 PM	2:59 PM	PAS Science Lecture Theatre		
25189	COMP	3161	Introduction to Database Management Systems	201520	Mona	M11	Lecture	100	10019348	Kevin J. Miller	18-Jan-16	15-Apr-16	Thur	12:00 PM	12:59 PM	PAS: PreClinical Lecture Theatre		
25190	COMP	3161	Introduction to Database Management Systems	201520	Mona	T01	Tutorial/Discussions	25	10019348	Kevin J. Miller	18-Jan-16	15-Apr-16	Mon	9:00 AM	9:59 AM	Computer Science Tutorial Room 1		
25191	COMP	3161	Introduction to Database Management Systems	201520	Mona	T02	Tutorial/Discussions	25	10019348	Kevin J. Miller	18-Jan-16	15-Apr-16	Tues	1:00 PM	1:59 PM	POST GRAD COMPUTER ROOM		
25192	COMP	3161	Introduction to Database Management Systems	201520	Mona	T03	Tutorial/Discussions	25	10019348	Kevin J. Miller	18-Jan-16	15-Apr-16	Mon	12:00 PM	12:59 PM	Computer Science Tutorial Room 2		
25193	COMP	3161	Introduction to Database Management Systems	201520	Mona	T04	Tutorial/Discussions	25	TUTOR	TUTOR	18-Jan-16	15-Apr-16	Tues	8:00 AM	8:59 AM	Computer Science Tutorial Room 2		
25667	COMP	3192	Implementation of Computer Networks COMP3192 LAB	201520	Mona	B01	Lab	60	10032033	Daniel T. Fokum	18-Jan-16	15-Apr-16	Thur	5:00 PM	6:59 PM	Computer Lab Lab 1		
25667	COMP	3192	Implementation of Computer Networks COMP3192 LAB	201520	Mona	B01	Lab	60	10032033	Daniel T. Fokum	18-Jan-16	15-Apr-16	Fri	10:00 AM	11:59 AM	Computer Lab Lab 1		
25666	COMP	3192	Implementation of Computer Networks	201520	Mona	M11	Lecture	60	10032033	Daniel T. Fokum	18-Jan-16	15-Apr-16	Tues	11:00 AM	11:59 AM	Computing Lecture Room		
25194	COMP	3702	Theory of Computation	201520	Mona	M11	Lecture	50	10015248	Daniel N. Coore	18-Jan-16	15-Apr-16	Mon	3:00 PM	3:59 PM	PAS Science Lecture Theatre		
25194	COMP	3702	Theory of Computation	201520	Mona	M11	Lecture	50	10015248	Daniel N. Coore	18-Jan-16	15-Apr-16	Tues	4:00 PM	4:59 PM	PAS Science Lecture Theatre		
25194	COMP	3702	Theory of Computation	201520	Mona	M11	Lecture	50	10015248	Daniel N. Coore	18-Jan-16	15-Apr-16	Fri	1:00 PM	1:59 PM	PAS Science Lecture Theatre		
25195	COMP	3702	Theory of Computation	201520	Mona	T01	Tutorial/Discussions	50	10015248	Daniel N. Coore	18-Jan-16	15-Apr-16	Mon	1:00 PM	1:59 PM	Computer Science Tutorial Room 1		
25669	COMP	3801	Real Time Embedded Systems	201520	Mona	M11	Lecture	60	10019382	Paul A. Gaynor	18-Jan-16	15-Apr-16	Mon	10:00 AM	10:59 AM	Computing Lecture Room		
25669	COMP	3801	Real Time Embedded Systems	201520	Mona	M11	Lecture	60	10019382	Paul A. Gaynor	18-Jan-16	15-Apr-16	Tues	12:00 PM	12:59 PM	Computing Lecture Room		
25669	COMP	3801	Real Time Embedded Systems	201520	Mona	M11	Lecture	60	10019382	Paul A. Gaynor	18-Jan-16	15-Apr-16	Thur	8:00 AM	9:59 AM	PAS Computer Science Lab 2		
25670	COMP	3801	Real Time Embedded Systems COMP3801 TUTORIAL	201520	Mona	T01	Tutorial/Discussions	30	10019382	Paul A. Gaynor	18-Jan-16	15-Apr-16	Mon	11:00 AM	11:59 AM	POST GRAD COMPUTER ROOM		
24139	COMP	3911	Internship in Computing I	201520	Mona	M11	Internship	60	10019017	Carl C. Beckford	18-Jan-16	8-Apr-16	Tues	10:00 AM	11:59 AM			
24139	COMP	3911	Internship in Computing I	201520	Mona	M11	Internship	60	10019348	Kevin J. Miller	18-Jan-16	8-Apr-16	Tues	10:00 AM	11:59 AM			
24228	COMP	3912	Internship in Computing II	201520	Mona	M11	Internship	60	10019017	Carl C. Beckford	18-Jan-16	8-Apr-16	Tues	10:00 AM	11:59 AM			
24228	COMP	3912	Internship in Computing II	201520	Mona	M11	Internship	60	10019348	Kevin J. Miller	18-Jan-16	8-Apr-16	Tues	10:00 AM	11:59 AM			
24215	INFO	2100	Mathematics and Statistics for IT	201520	Mona	M11	Lecture	60	10032637	Ricardo A. Baccas	18-Jan-16	8-Apr-16	Mon	12:00 PM	12:59 PM	PAS: PreClinical Lecture Theatre		
24215	INFO	2100	Mathematics and Statistics for IT	201520	Mona	M11	Lecture	60	10032637	Ricardo A. Baccas	18-Jan-16	8-Apr-16	Wed	12:00 PM	1:59 PM	PAS: PreClinical Lecture Theatre		
24216	INFO	2100	Mathematics and Statistics for IT	201520	Mona	T01	Tutorial/Discussions	30	10032637	Ricardo A. Baccas	18-Jan-16	8-Apr-16	Thur	10:00 AM	10:59 AM	Computer Science Tutorial Room 1		
24217	INFO	2100	Mathematics and Statistics for IT	201520	Mona	T02	Tutorial/Discussions	30	TUTOR	TUTOR	18-Jan-16	8-Apr-16	Thur	11:00 AM	11:59 AM	Computer Science Tutorial Room 1		
24724	INFO	3110	Information Systems in Organisations	201520	Mona	M11	Lecture	100	10019017	Carl C. Beckford	18-Jan-16	15-Apr-16	Wed	12:00 PM	1:59 PM	PAS Science Lecture Theatre		
24724	INFO	3110	Information Systems in Organisations	201520	Mona	M11	Lecture	100	10019017	Carl C. Beckford	18-Jan-16	15-Apr-16	Fri	9:00 AM	9:59 AM	PAS Science Lecture Theatre		
24725	INFO	3110	Information Systems in Organisations	201520	Mona	T01	Tutorial/Discussions	25	10019017	Carl C. Beckford	18-Jan-16	15-Apr-16	Thur	11:00 AM	11:59 AM	POST GRAD COMPUTER ROOM		
24726	INFO	3110	Information Systems in Organisations	201520	Mona	T02	Tutorial/Discussions	25	TUTOR	TUTOR	18-Jan-16	15-Apr-16	Fri	10:00 AM	10:59 AM	Computer Science Tutorial Room 2		
24727	INFO	3110	Information Systems in Organisations	201520	Mona	T03	Tutorial/Discussions	25	TUTOR	TUTOR	18-Jan-16	15-Apr-16	Thur	10:00 AM	10:59 AM	POST GRAD COMPUTER ROOM		
24728	INFO	3110	Information Systems in Organisations	201520	Mona	T04	Tutorial/Discussions	25	10019017	Carl C. Beckford	18-Jan-16	15-Apr-16	Fri	3:00 PM	3:59 PM	POST GRAD COMPUTER ROOM		
24759	INFO	3155	Information Assurance and Security	201520	Mona	M11	Lecture	100	10019397	Curtis C. Busby-Earle	18-Jan-16	15-Apr-16	Mon	12:00 PM	12:59 PM	Computing Lecture Room		
24759	INFO	3155	Information Assurance and Security	201520	Mona	M11	Lecture	100	10019397	Curtis C. Busby-Earle	18-Jan-16	15-Apr-16	Tues	3:00 PM	3:59 PM	Computing Lecture Room		
24759	INFO	3155	Information Assurance and Security	201520	Mona	M11	Lecture	100	10019397	Curtis C. Busby-Earle	18-Jan-16	15-Apr-16	Fri	12:00 PM	12:59 PM	Computing Lecture Room		
24760	INFO	3155	Information Assurance and Security	201520	Mona	T01	Tutorial/Discussions	25	TUTOR	TUTOR	18-Jan-16	15-Apr-16	Wed	4:00 PM	4:59 PM	Computer Science Tutorial Room 1		
24761	INFO	3155	Information Assurance and Security	201520	Mona	T02	Tutorial/Discussions	25	10019397	Curtis C. Busby-Earle	18-Jan-16	15-Apr-16	Mon	1:00 PM	1:59 PM	Computer Science Tutorial Room 2		
25309	INFO	3155	Information Assurance and Security TUTORIAL INFO3155	201520	Mona	T03	Tutorial/Discussions	25	TUTOR	TUTOR	18-Jan-16	15-Apr-16	Tues	5:00 PM	5:59 PM	Computer Science Tutorial Room 2		
24220	INFO	3180	Dynamic Web Development 2	201520	Mona	B01	Lab	60	10016161	David C. Bain	18-Jan-16	15-Apr-16	Wed	10:00 AM	11:59 AM	Computer Lab Lab 1		
24218	INFO	3180	Dynamic Web Development 2	201520	Mona	M11	Lecture	60	10016161	David C. Bain	18-Jan-16	15-Apr-16	Wed	8:00 AM	9:59 AM	LAW LECTURE THEATRE 2		AMEND
24219	INFO	3180	Dynamic Web Development 2	201520	Mona	T01	Tutorial/Discussions	30	TUTOR	TUTOR	18-Jan-16	15-Apr-16	Tues	11:00 AM	11:59 AM	Post Grad Computer Room		
25171	INFO	3180	Dynamic Web Development 2	201520	Mona	T02	Tutorial/Discussions	30	TUTOR	TUTOR	18-Jan-16	15-Apr-16	Tues	9:00 AM	9:59 AM	Post Grad Computer Room		
25310	INFO	3180	Dynamic Web Development 2 TUTORIAL INFO3180	201520	Mona	T03	Tutorial/Discussions	30	TUTOR	TUTOR	18-Jan-16	15-Apr-16	Fri	3:00 PM	3:59 PM	Computer Science Tutorial Room 2		
25410	INFO	3435	E-Commerce	201520	Mona	M11	Lecture	60	10015212	Kevin H. Duncan	18-Jan-16	15-Apr-16	Wed	3:00 PM	3:59 PM	PAS Science Lecture Theatre		
25410	INFO	3435	E-Commerce	201520	Mona	M11	Lecture	60	10015212	Kevin H. Duncan	18-Jan-16	15-Apr-16	Thur	11:00 AM	11:59 AM	Computing Lecture Room		
25410	INFO	3435	E-Commerce	201520	Mona	M11	Lecture	60	10015212	Kevin H. Duncan	18-Jan-16	15-Apr-16	Fri	10:00 AM	10:59 AM	Computing Lecture Room		
25413	INFO	3435	E-Commerce	201520	Mona	T01	Tutorial/Discussions	30	10015212	Kevin H. Duncan	18-Jan-16	15-Apr-16	Mon	4:00 PM	4:59 PM	POST GRAD COMPUTER ROOM		
25414	INFO	3435	E-Commerce	201520	Mona	T02	Tutorial/Discussions	30	TUTOR	TUTOR	18-Jan-16	15-Apr-16	Fri	11:00 AM	11:59 AM	Computer Science Tutorial Room 2		
24688	SWEN	3165	Software Testing	201520	Mona	M11	Lecture	100	10017952	Eyton A. Ferguson	18-Jan-16	15-Apr-16	Tues	1:00 PM	1:59 PM	Computing Lecture Room		
24688	SWEN	3165	Software Testing	201520	Mona	M11	Lecture	100	10017952	Eyton A. Ferguson	18-Jan-16	15-Apr-16	Thur	10:00 AM	10:59 AM	Computing Lecture Room		
24688	SWEN	3165	Software Testing	201520	Mona	M11	Lecture	100	10017952	Eyton A. Ferguson	18-Jan-16	15-Apr-16	Fri	4:00 PM	4:59 PM	PAS Computer Science Lab 2		
24689	SWEN	3165	Software Testing	201520	Mona	T01	Tutorial/Discussions	25	TUTOR	TUTOR	18-Jan-16	15-Apr-16	Tues	3:00 PM	3:59 PM	Computer Science Tutorial Room 2		
24691	SWEN	3165	Software Testing	201520	Mona	T03	Tutorial/Discussions	25	10017952	Eyton A. Ferguson	18-Jan-16	15-Apr-16	Tues	10:00 AM	10:59 AM	POST GRAD COMPUTER ROOM		
24693	SWEN	3185	Formal Methods and Software Reliability	201520	Mona	M11	Lecture	50	10009347	Ezra K. Mugisa	18-Jan-16	15-Apr-16	Mon	2:00 PM	2:59 PM	Computing Lecture Room		
24693	SWEN	3185	Formal Methods and Software Reliability	201520	Mona	M11	Lecture	50	10009347	Ezra K. Mugisa	18-Jan-16	15-Apr-16	Tues	9:00 AM	9:59 AM	Computing Lecture Room		
24693	SWEN	3185	Formal Methods and Software Reliability	201520	Mona	M11	Lecture	50	10009347	Ezra K. Mugisa	18-Jan-16	15-Apr-16	Thur	11:00 AM	11:59 AM	PAS Science Lecture Theatre		
24694	SWEN	3185	Formal Methods and Software Reliability	201520	Mona	T01	Tutorial/Discussions	25	10009347	Ezra K. Mugisa	18-Jan-16	15-Apr-16	Tues	12:00 PM	12:59 PM	POST GRAD COMPUTER ROOM		
24695	SWEN	3185	Formal Methods and Software Reliability	201520	Mona	T02	Tutorial/Discussions	25	TUTOR	TUTOR	18-Jan-16	15-Apr-16	Thur	9:00 AM	9:59 AM	Computer Science Tutorial Room 2		
25457	SWEN	3920	Group Project	201520	Mona	S01	Seminar	60	10019397	Curtis C. Busby-Earle	18-Jan-16	15-Apr-16	Tues	3:00 PM	4:59 PM			
25458	SWEN	3920	Group Project Tutorial SWEN3920	201520	Mona	T01	Tutorial/Discussions	60	10019397	Curtis C. Busby-Earle	18-Jan-16	15-Apr-16	Fri	11:00 AM	11:59 AM			
