CRN	SUBJ_CODE	CRSE_NUMB	COURSE_SECTION_TITLE	SEM_OFFERED	CAMPUS	SECTION	SCHED_TYPE	QUOTA	STAFF_ID	INSTRUCTOR	START_DATE	END_DATE	DAY	START_TIME	END_TIME	ROOM_DESC	Primary Instructor/First Examiner	Update Status (OK, Amend, Remove, Add)
24699	COMP	1127	Introduction to Computing II	201520	Mona	T07	Secondary Tutorial	40	TUTOR	TUTOR	7-Mar-16	8-Apr-16	Wed	9:00 AM	9:59 AM	Computer Science Tutorial Room 1		
24700	COMP	1127	Introduction to Computing II	201520	Mona	T08	Tutorial/Discussions	40	TUTOR	TUTOR	7-Mar-16	14-Apr-16	Tues	2:00 PM	2:59 PM	Computer Science Tutorial Room 1		
25639	COMP	1127	Introduction to Computing II COMP1127 TUTORIAL	201520	Mona	T09	Tutorial/Discussions	40	TUTOR	TUTOR	7-Mar-16	14-Apr-16	Fri	1:00 PM	1:59 PM	Computer Science Tutorial Room 2		
25938	COMP	1127	Introduction to Computing II SECONDARY TUTORIAL COMP1127	201520	Mona	T10	Secondary Tutorial	40	TUTOR	TUTOR	7-Mar-16	8-Apr-16	Mon	2:00 PM	2:59 PM	Computer Science Tutorial Room 1		
23491	COMP	1161	Introduction to Object-Oriented Programming Lab COMP1161	201520	Mona	B01	Lab	75	10017952	Eyton A. Ferguson	18-Jan-16	14-Apr-16	Tues	5:00 PM	6:59 PM	Computer Lab Lab 1		
23492	COMP	1161	Introduction to Object-Oriented Programming Lab COMP1161	201520	Mona	B02	Lab	75	10017952	Eyton A. Ferguson	18-Jan-16	14-Apr-16	Wed	5:00 PM	6:59 PM	Computer Lab Lab 1		
23301	COMP	1161	Introduction to Object-Oriented Programming Lab COMP1161	201520	Mona	B03	Lab	75	TUTOR	TUTOR	17-Jan-16	4-May-16	Thur	8:00 AM	9:59 AM	Computer Lab Lab 1		
23302	COMP	1161	Introduction to Object-Oriented Programming Lab COMP1161	201520	Mona	B04	Lab	75	TUTOR	TUTOR	17-Jan-16	4-May-16	Fri	8:00 AM	9:59 AM	Computer Lab Lab 1		
26767	COMP	1161	Introduction to Object-Oriented Programming	201520	Mona	M12	Lecture	100	10031494	Andre K. Sheckleford	18-Jan-16	14-Apr-16	Mon	6:00 PM	7:59 PM	PAS Science Lecture Theatre		
23430	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201520	Mona	T01	Tutorial/Discussions	20	TUTOR	TUTOR	18-Jan-16	14-Apr-16	Mon	11:00 AM	11:59 AM	Computer Science Tutorial Room 1		
