CRN	SUBJ_CODE	CRSE_NUMB	COURSE_SECTION_TITLE	SEM_OFFERED	CAMPUS	SECTION	SCHED_TYPE	QUOTA	STAFF_ID	INSTRUCTOR	START_DATE	END_DATE	DAY	START_TIME	END_TIME	ROOM_DESC	Primary Instructor/First Examiner	Update Status (OK, Amend, Remove, Add)	
23778	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201420	Mona	T09	Tutorial/Discussions	20	TUTOR	TUTOR	19-Jan-15	16-Apr-15	Tues	7:00 PM	7:59 PM	Computer Science Tutorial Room 2		OK	
23779	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201420	Mona	T10	Tutorial/Discussions	20	10031769	Careene Rodney	19-Jan-15	16-Apr-15	Mon	9:00 AM	9:59 AM	Computer Science Tutorial Room 2		OK	
23780	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201420	Mona	T11	Tutorial/Discussions	20	10032033	Daniel T. Fokum	19-Jan-15	16-Apr-15	Tues	4:00 PM	4:59 PM	Computer Science Tutorial Room 1		OK	
23782	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201420	Mona	T12	Tutorial/Discussions	20	10031769	Careene Rodney	19-Jan-15	16-Apr-15	Wed	2:00 PM	2:59 PM	Computer Science Tutorial Room 1		OK	
23784	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201420	Mona	T13	Tutorial/Discussions	20	10017952	Eyton A. Ferguson	19-Jan-15	16-Apr-15	Wed	3:00 PM	3:59 PM	Computer Science Tutorial Room 1		AMEND	
23786	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP116	201420	Mona	T14	Tutorial/Discussions	20	TUTOR	TUTOR	19-Jan-15	16-Apr-15	Thur	11:00 AM	11:59 AM	Computer Science Tutorial Room 2		OK	
23787	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201420	Mona	T15	Tutorial/Discussions	20	10031769	Careene Rodney	19-Jan-15	16-Apr-15	Thur	12:00 PM	12:59 PM	Computer Science Tutorial Room 2		AMEND	
23789	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201420	Mona	T17	Tutorial/Discussions	20	10031769	Careene Rodney	19-Jan-15	16-Apr-15	Fri	12:00 PM	12:59 PM	Computer Science Tutorial Room 1		AMEND	
23791	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201420	Mona	T18	Tutorial/Discussions	20	TUTOR	TUTOR	19-Jan-15	16-Apr-15	Tues	1:00 PM	1:59 PM	Computer Science Tutorial Room 1		OK	
23798	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201420	Mona	T19	Tutorial/Discussions	20	10034560	Simon Edewafe	19-Jan-15	16-Apr-15	Fri	5:00 PM	5:59 PM	Computer Science Tutorial Room 2		AMEND	
24505	COMP	1161	Introduction to Object-Oriented Programming Tutorial COMP1161	201420	Mona	T20	Tutorial/Discussions	20	TUTOR	TUTOR	19-Jan-15	10-Apr-15	Thur	10:00 AM	10:59 AM	Computer Science Tutorial Room 2		AMEND	
